test_name,run_1,run_2,is_flaky
.tests.api.test_ai_workflow,skipped,skipped,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_asiento_no_existe_400,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_asiento_no_libre_409,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_happy_path,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_ruta_no_asociada_400,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_ruta_no_encontrada_400,passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_BODY_VACIO_400-None-500-Error interno del servidor],passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_CAMPO_FALTANTE_400-body3-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_EMAIL_INVALIDO_400-body1-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_gestionreservas_add_reservation_rag.test_gestionreservas_add_reservation_validaciones_basicas[GR_ADDRES_STATUS_INVALIDO_400-body2-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_gestionreservas_cancel_payment_and_reservation_rag.test_gestionreservas_cancel_payment_and_reservation_formato_invalido_400,passed,passed,False
tests.api.test_gestionreservas_cancel_payment_and_reservation_rag.test_gestionreservas_cancel_payment_and_reservation_happy_path,passed,passed,False
tests.api.test_gestionreservas_cancel_payment_and_reservation_rag.test_gestionreservas_cancel_payment_and_reservation_no_existe_404,passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_happy_path,passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_reserva_ya_tiene_pago_409,skipped,skipped,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_METHOD_INVALIDO_400-body1-400-M\xe9todo de pago inv\xe1lido.],passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_MONEDA_INVALIDA_400-body2-400-Moneda no soportada.],passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_RES_ID_INVALIDO_400-body0-400-El reservation_id debe ser un n\xfamero entero positivo.],passed,passed,False
tests.api.test_gestionreservas_create_payment_rag.test_gestionreservas_create_payment_validaciones_basicas_y_404[GR_CPAY_RES_NO_EXISTE_404-body3-404-no encontrada],passed,passed,False
tests.api.test_gestionreservas_delete_payment_by_id_rag.test_gestionreservas_delete_payment_by_id_formato_invalido_400,passed,passed,False
tests.api.test_gestionreservas_delete_payment_by_id_rag.test_gestionreservas_delete_payment_by_id_happy_path,passed,passed,False
tests.api.test_gestionreservas_delete_payment_by_id_rag.test_gestionreservas_delete_payment_by_id_no_existe_404,passed,passed,False
tests.api.test_gestionreservas_delete_reservation_by_id_rag.test_gestionreservas_delete_reservation_by_id_happy_path,passed,passed,False
tests.api.test_gestionreservas_delete_reservation_by_id_rag.test_gestionreservas_delete_reservation_by_id_validaciones_y_404[GR_DELRES_ID_CERO_400-/delete_reservation_by_id/0-400-El ID de reserva debe ser un n\xfamero positivo],passed,passed,False
tests.api.test_gestionreservas_delete_reservation_by_id_rag.test_gestionreservas_delete_reservation_by_id_validaciones_y_404[GR_DELRES_NO_EXISTE_404-/delete_reservation_by_id/999999-404-Reserva no encontrada],passed,passed,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_happy_path,skipped,skipped,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_BODY_AUSENTE_415-REAL_FROM_FIXTURE-None-415-unsupported media type-True],skipped,skipped,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_FMT_400-ABC-body0-400-formato del payment_id es inv\xe1lido-False],passed,passed,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_METODO_INVALIDO_400-REAL_FROM_FIXTURE-body3-400-m\xe9todo de pago inv\xe1lido-False],skipped,skipped,False
tests.api.test_gestionreservas_edit_payment_rag.test_gestionreservas_edit_payment_validaciones_basicas[GR_EDITPAY_NO_EXISTE_404-PAY999999-body1-404-no se encontr\xf3 el pago con id-False],passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_asiento_no_existe_400,passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_asiento_no_libre_409,passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_happy_path_cambio_asiento,passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_happy_path_solo_contacto,passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_validaciones_basicas[GR_EDITRES_BODY_AUSENTE_400-REAL_FROM_FIXTURE-None-400-No se recibi\xf3 cuerpo JSON],passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_validaciones_basicas[GR_EDITRES_BODY_CAMPO_EXTRA_400-REAL_FROM_FIXTURE-body4-400-exactamente estos campos],passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_validaciones_basicas[GR_EDITRES_BODY_INCOMPLETO_400-REAL_FROM_FIXTURE-body3-400-exactamente estos campos],passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_validaciones_basicas[GR_EDITRES_CODE_MALFORMADO_400-ABC-body0-400-El c\xf3digo de reserva debe ser 6 caracteres alfanum\xe9ricos],passed,passed,False
tests.api.test_gestionreservas_edit_reservation_rag.test_gestionreservas_edit_reservation_validaciones_basicas[GR_EDITRES_NO_EXISTE_404-ZZZ999-body1-404-Reserva no encontrada],passed,passed,False
tests.api.test_gestionreservas_get_all_fake_payments_rag.test_gestionreservas_get_all_fake_payments_estructura_cuando_hay_pagos,skipped,skipped,False
tests.api.test_gestionreservas_get_all_fake_payments_rag.test_gestionreservas_get_all_fake_payments_status_y_formato_basico,passed,passed,False
tests.api.test_gestionreservas_get_fake_reservations_rag.test_gestionreservas_get_fake_reservations_estructura_cuando_hay_reservas,passed,passed,False
tests.api.test_gestionreservas_get_fake_reservations_rag.test_gestionreservas_get_fake_reservations_status_y_mensaje,passed,passed,False
tests.api.test_gestionreservas_get_payment_by_id_rag.test_gestionreservas_get_payment_by_id_formato_invalido_400[GR_GETPAY_FMT_400_123456-123456],passed,passed,False
tests.api.test_gestionreservas_get_payment_by_id_rag.test_gestionreservas_get_payment_by_id_formato_invalido_400[GR_GETPAY_FMT_400_PAY123-PAY123],passed,passed,False
tests.api.test_gestionreservas_get_payment_by_id_rag.test_gestionreservas_get_payment_by_id_formato_invalido_400[GR_GETPAY_FMT_400_PAYABCDEF-PAYABCDEF],passed,passed,False
tests.api.test_gestionreservas_get_payment_by_id_rag.test_gestionreservas_get_payment_by_id_formato_invalido_400[GR_GETPAY_FMT_400_XYZ123-XYZ123],passed,passed,False
tests.api.test_gestionreservas_get_payment_by_id_rag.test_gestionreservas_get_payment_by_id_happy_path,skipped,skipped,False
tests.api.test_gestionreservas_get_payment_by_id_rag.test_gestionreservas_get_payment_by_id_no_existe_o_sin_pagos_404,passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_code_rag.test_gestionreservas_get_reservation_by_code_happy_path,passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_code_rag.test_gestionreservas_get_reservation_by_code_validaciones_y_404[GR_GETRES_CODE_CHAR_INVALIDO_400-/get_reservation_by_code/ABC12--400-string alfanum\xe9rico de 6 caracteres],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_code_rag.test_gestionreservas_get_reservation_by_code_validaciones_y_404[GR_GETRES_CODE_CORTO_400-/get_reservation_by_code/ABC12-400-string alfanum\xe9rico de 6 caracteres],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_code_rag.test_gestionreservas_get_reservation_by_code_validaciones_y_404[GR_GETRES_NO_EXISTE_404-/get_reservation_by_code/ZZZ999-404-Reserva no encontrada],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_id_rag.test_gestionreservas_get_reservation_by_id_happy_path,passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_id_rag.test_gestionreservas_get_reservation_by_id_validaciones_y_404[GR_GETRESID_CERO_400-/get_reservation_by_id/0-400-El ID de reserva debe ser un n\xfamero positivo mayor que cero.],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_id_rag.test_gestionreservas_get_reservation_by_id_validaciones_y_404[GR_GETRESID_NEGATIVO_400-/get_reservation_by_id/-1-400-El ID de reserva debe ser un n\xfamero positivo mayor que cero.],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_id_rag.test_gestionreservas_get_reservation_by_id_validaciones_y_404[GR_GETRESID_NO_EXISTE_404-/get_reservation_by_id/999999-404-Reserva no encontrada],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_id_rag.test_gestionreservas_get_reservation_by_id_validaciones_y_404[GR_GETRESID_NO_NUM_ABC_400-/get_reservation_by_id/abc-400-El ID de reserva debe ser un n\xfamero entero positivo.],passed,passed,False
tests.api.test_gestionreservas_get_reservation_by_id_rag.test_gestionreservas_get_reservation_by_id_validaciones_y_404[GR_GETRESID_NO_NUM_DECIMAL_400-/get_reservation_by_id/10.5-400-El ID de reserva debe ser un n\xfamero entero positivo.],passed,passed,False
tests.api.test_gestionvuelos.test_add_airplane_and_get_by_id,passed,passed,False
tests.api.test_gestionvuelos.test_add_airplane_duplicate_and_validation,passed,passed,False
tests.api.test_gestionvuelos.test_add_airplane_validation_errors_param[payload0-year],passed,passed,False
tests.api.test_gestionvuelos.test_add_airplane_validation_errors_param[payload1-capacity],passed,passed,False
tests.api.test_gestionvuelos.test_add_route_and_get_all,passed,passed,False
tests.api.test_gestionvuelos.test_delete_airplane_and_cascade_seats,passed,passed,False
tests.api.test_gestionvuelos.test_delete_airplane_route_by_id,passed,passed,False
tests.api.test_gestionvuelos.test_get_airplanes_route_by_id_and_not_found,passed,passed,False
tests.api.test_gestionvuelos.test_get_random_free_seat_and_free_seat,passed,passed,False
tests.api.test_gestionvuelos.test_health_and_instance_header,passed,passed,False
tests.api.test_gestionvuelos.test_openapi_present_optional,passed,passed,False
tests.api.test_gestionvuelos.test_seats_grouped_and_update_status,failed,failed,False
tests.api.test_gestionvuelos.test_state_endpoint,passed,passed,False
tests.api.test_gestionvuelos.test_update_airplane_and_noop,passed,passed,False
tests.api.test_gestionvuelos.test_update_airplane_route_by_id,passed,passed,False
tests.api.test_gestionvuelos.test_update_seat_status_invalid_numbers[*],passed,passed,False
tests.api.test_gestionvuelos.test_update_seat_status_invalid_numbers[123],passed,passed,False
tests.api.test_gestionvuelos.test_update_seat_status_invalid_numbers[AAAAA],passed,passed,False
tests.api.test_gestionvuelos.test_update_seat_status_invalid_numbers[ALL],passed,passed,False
tests.api.test_gestionvuelos.test_update_seat_status_invalid_numbers[XYZ99],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_ERR_BODY_VACIO-empty_body-400-No se recibi\xf3 ning\xfan cuerpo JSON-None],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_ERR_CAPACITY-capacity_zero-400-Errores de validaci\xf3n-capacity],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_ERR_EXTRAS-extra_fields-400-Campos no v\xe1lidos-None],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_ERR_FALTANTES-missing_fields-400-Faltan campos obligatorios-None],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_ERR_ID_DUP-id_dup-400-Ya existe un avi\xf3n con ese ID-None],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_ERR_YEAR-year_zero-400-El campo 'year' debe ser un entero positivo-None],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_rag.test_add_airplane_rag_cases[ADD_OK_01-happy-201-Avi\xf3n y asientos agregados-None],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_route_rag.test_add_airplane_route_rag_cases[ROUTE_ERR_AIRPLANE_NO_EXISTE-airplane_not_exists-400-El avi\xf3n especificado no existe-airplane_id],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_route_rag.test_add_airplane_route_rag_cases[ROUTE_ERR_FECHAS-arrival_before_departure-400-La hora de llegada debe ser posterior a la de salida-arrival_time],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_route_rag.test_add_airplane_route_rag_cases[ROUTE_ERR_ID_DUP-duplicate_id-400-Ya existe una ruta con ID-airplane_route_id],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_route_rag.test_add_airplane_route_rag_cases[ROUTE_ERR_MONEDA-invalid_currency-400-Error de validaci\xf3n-Moneda],passed,passed,False
tests.api.test_gestionvuelos_add_airplane_route_rag.test_add_airplane_route_rag_cases[ROUTE_OK_01-happy-201-Ruta agregada con \xe9xito-None],passed,passed,False
tests.api.test_gestionvuelos_delete_airplane_by_id_rag.test_delete_airplane_rag[DEL_PLANE_ID_INVALIDO-id_invalid-400-entero positivo],passed,passed,False
tests.api.test_gestionvuelos_delete_airplane_by_id_rag.test_delete_airplane_rag[DEL_PLANE_ID_NO_EXISTE-id_not_found-404-no encontrado],passed,passed,False
tests.api.test_gestionvuelos_delete_airplane_by_id_rag.test_delete_airplane_rag[DEL_PLANE_OK_EXISTENTE-happy-200-eliminado exitosamente],passed,passed,False
tests.api.test_gestionvuelos_delete_airplane_route_by_id_rag.test_delete_route_rag[DEL_ROUTE_ID_INVALIDO-id_invalid-400-entero positivo],passed,passed,False
tests.api.test_gestionvuelos_delete_airplane_route_by_id_rag.test_delete_route_rag[DEL_ROUTE_ID_NO_EXISTE-id_not_found-404-no encontrada],passed,passed,False
tests.api.test_gestionvuelos_delete_airplane_route_by_id_rag.test_delete_route_rag[DEL_ROUTE_OK_EXISTENTE-happy-200-Ruta eliminada con \xe9xito],passed,passed,False
tests.api.test_gestionvuelos_get_airplane_by_id_rag.test_get_airplane_by_id_rag[GET_AIRPLANE_ID_INVALIDO-id_invalid-400-entero positivo],passed,passed,False
tests.api.test_gestionvuelos_get_airplane_by_id_rag.test_get_airplane_by_id_rag[GET_AIRPLANE_ID_NO_EXISTE-id_not_found-404-no encontrado],passed,passed,False
tests.api.test_gestionvuelos_get_airplane_by_id_rag.test_get_airplane_by_id_rag[GET_AIRPLANE_OK_EXISTENTE-existing-200-None],passed,passed,False
tests.api.test_gestionvuelos_get_airplanes_rag.test_get_airplanes_rag_basic,passed,passed,False
tests.api.test_gestionvuelos_get_airplanes_route_by_id_rag.test_get_route_by_id_rag[GET_ROUTE_ID_INVALIDO-id_invalid-400-entero positivo],passed,passed,False
tests.api.test_gestionvuelos_get_airplanes_route_by_id_rag.test_get_route_by_id_rag[GET_ROUTE_ID_NO_EXISTE-id_not_found-404-no encontrada],passed,passed,False
tests.api.test_gestionvuelos_get_airplanes_route_by_id_rag.test_get_route_by_id_rag[GET_ROUTE_OK_EXISTENTE-existing-200-None],passed,passed,False
tests.api.test_gestionvuelos_get_all_airplanes_routes_rag.test_get_all_routes_rag_basic,passed,passed,False
tests.api.test_gestionvuelos_update_airplane_rag.test_update_airplane_rag_cases[UPD_CAMPOS_EXTRAS-extra_fields-400-campos no v\xe1lidos-None],passed,passed,False
tests.api.test_gestionvuelos_update_airplane_rag.test_update_airplane_rag_cases[UPD_FALTAN_CAMPOS-missing_fields-400-Faltan campos obligatorios-None],passed,passed,False
tests.api.test_gestionvuelos_update_airplane_rag.test_update_airplane_rag_cases[UPD_OK_CAMBIA_MODEL_Y_CAPACITY-happy-200-actualizado con \xe9xito-None],passed,passed,False
tests.api.test_gestionvuelos_update_airplane_rag.test_update_airplane_rag_cases[UPD_YEAR_INVALIDO-year_zero-400-Errores de validaci\xf3n-year],passed,passed,False
tests.api.test_reservas.test_crear_reserva_contrato_y_estado,failed,failed,False
tests.api.test_usuario.test_usuario_end_to_end_reservation_payment_and_cancel,failed,failed,False
tests.api.test_usuario.test_usuario_health_contract,passed,passed,False
tests.api.test_usuario.test_usuario_openapi_present_optional,passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_asiento_no_existe_400,passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_asiento_no_libre_409,passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_happy_path,passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_ruta_no_asociada_400,passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_validaciones_basicas[USR_ADDRES_BODY_VACIO_400-None-400-No se recibi\xf3 cuerpo JSON],passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_validaciones_basicas[USR_ADDRES_CAMPO_FALTANTE_400-body3-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_validaciones_basicas[USR_ADDRES_EMAIL_INVALIDO_400-body1-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_usuario_add_reservation_rag.test_usuario_add_reservation_validaciones_basicas[USR_ADDRES_STATUS_INVALIDO_400-body2-400-Error de validaci\xf3n],passed,passed,False
tests.api.test_usuario_airplanes_lists_rag.test_usuario_get_all_airplanes_routes_contract,passed,passed,False
tests.api.test_usuario_airplanes_lists_rag.test_usuario_get_all_airplanes_with_seats_contract,passed,passed,False
tests.api.test_usuario_cancel_payment_and_reservation_rag.test_usuario_cancel_payment_happy_path,skipped,skipped,False
tests.api.test_usuario_cancel_payment_and_reservation_rag.test_usuario_cancel_payment_validaciones_y_404[PAY_CAN_ID_INVALIDO_1-ABC123456-400-formato del payment_id es inv\xe1lido],passed,passed,False
tests.api.test_usuario_cancel_payment_and_reservation_rag.test_usuario_cancel_payment_validaciones_y_404[PAY_CAN_ID_INVALIDO_2-PAY123-400-formato del payment_id es inv\xe1lido],passed,passed,False
tests.api.test_usuario_cancel_payment_and_reservation_rag.test_usuario_cancel_payment_validaciones_y_404[PAY_CAN_NO_EXISTE-PAY999999-404-no se encontr],passed,passed,False
tests.api.test_usuario_create_payment_rag.test_usuario_create_payment_happy_path,passed,passed,False
tests.api.test_usuario_create_payment_rag.test_usuario_create_payment_validaciones_basicas_y_404[USR_PAY_BODY_VACIO-None-400-No se recibi\xf3 cuerpo JSON],passed,passed,False
tests.api.test_usuario_create_payment_rag.test_usuario_create_payment_validaciones_basicas_y_404[USR_PAY_CURRENCY_INV-body3-400-Moneda no soportada.],passed,passed,False
tests.api.test_usuario_create_payment_rag.test_usuario_create_payment_validaciones_basicas_y_404[USR_PAY_ID_INVALIDO-body1-400-El reservation_id debe ser un entero positivo.],passed,passed,False
tests.api.test_usuario_create_payment_rag.test_usuario_create_payment_validaciones_basicas_y_404[USR_PAY_METHOD_INV-body2-400-M\xe9todo de pago inv\xe1lido.],passed,passed,False
tests.api.test_usuario_create_payment_rag.test_usuario_create_payment_validaciones_basicas_y_404[USR_PAY_RES_NO_EXIST-body4-404-no encontrada],passed,passed,False
tests.api.test_usuario_delete_reservation_rag.test_usuario_delete_reservation_happy_path,failed,failed,False
tests.api.test_usuario_delete_reservation_rag.test_usuario_delete_reservation_validaciones_y_404[USR_DEL_ID_INVALIDO-0-400-n\xfamero positivo],passed,passed,False
tests.api.test_usuario_delete_reservation_rag.test_usuario_delete_reservation_validaciones_y_404[USR_DEL_NO_EXISTE-999999-404-no encontrada],passed,passed,False
tests.api.test_usuario_edit_payment_rag.test_usuario_edit_payment_happy_path,passed,passed,False
"tests.api.test_usuario_edit_payment_rag.test_usuario_edit_payment_validaciones_y_404[USR_EDIT_PAY_BODY_CAMPOS_EXTRA-PAY123456-body2-400-Solo se pueden actualizar: payment_method, payment_date, transaction_reference]",passed,passed,False
tests.api.test_usuario_edit_payment_rag.test_usuario_edit_payment_validaciones_y_404[USR_EDIT_PAY_BODY_VACIO-PAY123456-None-400-No se recibi\xf3 cuerpo JSON],passed,passed,False
tests.api.test_usuario_edit_payment_rag.test_usuario_edit_payment_validaciones_y_404[USR_EDIT_PAY_ID_INVALIDO-ABC123-body1-400-El formato del payment_id es inv\xe1lido. Debe ser PAY123456],passed,passed,False
tests.api.test_usuario_edit_payment_rag.test_usuario_edit_payment_validaciones_y_404[USR_EDIT_PAY_NO_EXISTE-PAY999999-body3-404-No se encontr\xf3],passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_airplane_route_by_id_happy_path,passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_airplane_route_by_id_validaciones_y_404[USR_ROUTE_ID_CERO_400-/get_airplane_route_by_id/0-400-El ID debe ser un n\xfamero positivo],passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_airplane_route_by_id_validaciones_y_404[USR_ROUTE_ID_NEGATIVO_404-/get_airplane_route_by_id/-1-404-not found],passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_airplane_route_by_id_validaciones_y_404[USR_ROUTE_NO_EXISTE_404-/get_airplane_route_by_id/999999-404-Ruta de vuelo no encontrada],passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_seats_by_airplane_id_happy_path,passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_seats_by_airplane_id_validaciones_y_errores[USR_SEATS_AIRPLANE_NO_EXISTE_500-/get_seats_by_airplane_id/999999/seats-500-Error al procesar los datos: formato inv\xe1lido o sin conexi\xf3n.],passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_seats_by_airplane_id_validaciones_y_errores[USR_SEATS_ID_CERO_400-/get_seats_by_airplane_id/0/seats-400-Por favor proporciona un ID de avi\xf3n v\xe1lido],passed,passed,False
tests.api.test_usuario_flights_routes_seats_rag.test_usuario_get_seats_by_airplane_id_validaciones_y_errores[USR_SEATS_ID_NEGATIVO_404-/get_seats_by_airplane_id/-1/seats-404-not found],passed,passed,False
tests.api.test_usuario_get_payments_rag.test_usuario_get_all_payments_contract,passed,passed,False
tests.api.test_usuario_get_payments_rag.test_usuario_get_payment_by_id_happy_path,passed,passed,False
tests.api.test_usuario_get_payments_rag.test_usuario_get_payment_by_id_validaciones_y_404[USR_PAY_GET_ID_FORMATO_INVALIDO_400-/get_payment_by_id/ABC123-400-El formato del payment_id es inv\xe1lido. Debe ser como PAY123456],passed,passed,False
tests.api.test_usuario_get_payments_rag.test_usuario_get_payment_by_id_validaciones_y_404[USR_PAY_GET_ID_NO_EXISTE_404-/get_payment_by_id/PAY999999-404-No se encontr\xf3 ning\xfan pago con ID: PAY999999],passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_all_reservations_contract,passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_code_happy_path,passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_code_validaciones_y_404[USR_RES_CODE_NO_EXISTE_404-/get_reservation_by_code/ZZZ999-404-Reserva no encontrada en Gesti\xf3nReservas],passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_code_validaciones_y_404[USR_RES_CODE_VACIO_400-/get_reservation_by_code/%20%20%20-400-El c\xf3digo de reserva es obligatorio y debe ser texto v\xe1lido.],passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_id_happy_path,passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_id_validaciones_y_404[USR_RES_ID_CERO_400-/get_reservation_by_id/0-400-El ID debe ser un n\xfamero entero positivo.],passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_id_validaciones_y_404[USR_RES_ID_NEGATIVO_404-/get_reservation_by_id/-1-404-not found],passed,passed,False
tests.api.test_usuario_get_reservations_rag.test_usuario_get_reservation_by_id_validaciones_y_404[USR_RES_ID_NO_EXISTE_404-/get_reservation_by_id/999999-404-Reserva no encontrada en Gesti\xf3nReservas],passed,passed,False
tests.api.test_usuario_health_rag.test_usuario_health_ok,passed,passed,False
tests.api.test_usuario_update_reservation_rag.test_usuario_update_reservation_happy_path,passed,passed,False
tests.api.test_usuario_update_reservation_rag.test_usuario_update_reservation_sin_cambios,passed,passed,False
tests.api.test_usuario_update_reservation_rag.test_usuario_update_reservation_validaciones_basicas[USR_UPD_BODY_VACIO-ABC123-None-400-No se recibi\xf3 cuerpo JSON],passed,passed,False
tests.api.test_usuario_update_reservation_rag.test_usuario_update_reservation_validaciones_basicas[USR_UPD_CAMPOS_EXTRA-ABC123-body2-400-exactamente estos campos],passed,passed,False
tests.api.test_usuario_update_reservation_rag.test_usuario_update_reservation_validaciones_basicas[USR_UPD_CODIGO_INVALIDO-ABC-body1-400-El c\xf3digo de reserva debe ser 6 caracteres alfanum\xe9ricos],passed,passed,False
